headline,status,founded,dateOfInvestment,management,location,segment,investment,investmentType,website,Description,id,contentType,businessModel,subheadline,exit
GartenHaus,Active,2002,2020-10-20,"Sebastian Arendt
Sönke-Timo Kisker",Hamburg (Germany),Commerce,Later Stage Acceleration,PE Co-Investment,https://www.gartenhaus-gmbh.de/,"GartenHaus GmbH is the leading online platform for home and garden projects. Founded in 2002, GartenHaus GmbH sells garden houses, sheds, carports, terraces, saunas and other garden and home related products via their local online shops. With 1 million monthly users it is the digital market leader for home and garden projects in Germany, Austria, Switzerland and the Netherlands. The digital specialist has developed an innovative online shop including price comparison and unique and rich media content for a product range of 30,000 SKU and services. On request, GartenHaus GmbH handles the entire garden and home project, from A to Z: assembly, consultation, planning permission, foundations, maintenance and accessories. The extensive range of services includes products made to measure and configurators allowing customers to design products individually.",2rkSrhEQQPKdIQ2laS0iei,venture,B2C,Leading online shop for home and garden projects,NaN
Pactum,Active,2019,2020-06-30,"Kaspar Korjus
Martin Rand
Kristjan Korjus","Mountain View (USA)
Estonia",Business Software,Seed,VC,https://www.pactum.com/,"Pactum is an AI-based system that helps global companies to automatically offer personalized, commercial negotiations on a massive scale. The system adds value and saves time for both the Pactum client and their negotiation partner by aligning their values to determine win-win agreements via an easy-to-use chat interface that implements best-practice negotiation strategies. The company is based in Mountain View with engineering and operations in Estonia. Pactum is backed by founders of Skype and TransferWise and built by luminaries from Skype, Starship Technologies and the Government of Estonia’s e-Residency program.",6h2YqTFs32iq7Du0aHTBdg,venture,SaaS,AI Negotiation Platform Company,Read 
Evernest,Active,2019,2020-05-25,"Christian Evers
Luisa Haxel
Stefan Betzold",Hamburg (Germany),Real Estate & Construction,Seed,VC,NaN,"Evernest redefines the buying and selling of residential real estate in Europe's major cities. They offer brokers and their customers a unique platform that allows for a transparent, seamless, and personalized experience. They bring together the brightest minds in tech and real estate and combine start-up culture with years of industry expertise.",1Gt0qtodD9a8i75Vz3MMXl,venture,Marketplace,Redefining real estate sales – helping people find a home for life,NaN
Amann Girrbach,Active,2004,2020-05-21,"Dr. Wolfgang Reim (CEO)
Jörg Mayer
Eelco De Groot
",Koblach (Austria),Manufacturing & Industry 4.0,Later Stage Acceleration,PE Co-Investment,https://www.amanngirrbach.com/en/home/,"Amann Girrbach sets new standards in digital dental technology. As a pioneer in dental CAD/CAM technology Amann Girrbach AG is one of the leading innovators and preferred full-service providers in digital dental prosthetics. With its high degree of expertise in development and commitment to customer orientation, the ambitious company from Vorarlberg, Austria, creates sophisticated system solutions for tomorrow's practice routine.

The company Girrbach Dental Germany was founded in 1936 by Herbert Girrbach, Amann Dental Austria was established in 1972. After many years of a successful cooperation, the two firms were merged into Amann Girrbach AG in the year 2004. The company employs more than 500 people around the world in 6 different countries: Austria, Germany, USA, Singapore, Brasil and China.",15ux3m7JL4wTO9wwMlMoRf,venture,B2B - SMB,Manufacturers of CAD/CAM Equipment and Material for Dental Labs & Dentists,NaN
Unmind,Active,2016,2020-02-13,"Nick Taylor
Nick Tong
Steve Peralta",London (UK),Digital Health,Series A,VC,https://home.unmind.com/,"Unmind offers a workplace mental health platform that empowers employees to proactively measure and manage their mental health through scientifically-backed assessments, tools, training and signposting. They enable organizations to access aggregated and anonymous data, allowing them to make informed decisions about their wider mental health strategy. Unmind is built on the belief that everyone has the right to a healthy mind. Their vision is to create a world where mental health is universally understood, nurtured and celebrated. They work with the world’s top clinicians, academics and authors; combining the latest research from positive psychology, cognitive behavioural therapy, neuroscience, and mindfulness.",2SxdRiZxe3MoLlFRmTH28e,venture,B2B - SMB,The workplace mental health platform,NaN
Anyline,Active,2013,2020-01-15,"Lukas Kinigadner
Daniel Albertini","Vienna (Austria)
Boston (US)",Business Software,Series A,VC,https://anyline.com/,"Founded in Vienna in 2013, Anyline has established itself as a market leader in mobile data
capture. Using the newest and most innovative artificial intelligence approaches, Anyline
enables any mobile device to process written characters and barcodes in real time, even when
offline. Anyline mobile data capture technology is CCPA/GDPR compliant, processing all data collected securely on the users’ device, and removing any chance of data interference. It’s not only more accurate than manual data entry, but also works 20 times faster. These scanning solutions are trusted by household brands such as PepsiCo, Discount Tire and IBM, as well as national governments and the United Nations. ",3rwPMsbYcbXqFD2Dh4nHup,venture,B2B - SMB,The Mobile Text Recognition For Mobile Apps,Read why we invested in Anyline 
Electric Gamebox,Active,2018,2020-01-01,"Will Dean
David Spindler",London (UK),Media,Series A,VC,https://electricgamebox.com/,"Electric Gamebox is a new genre of group entertainment offering immersive Adventures in interactive digital rooms. Their custom developed LightBox Adventure pods host up to six players at a time and feature a range of technologies including projection mapping, touch screens, motion tracking and surround sound. This cutting-edge tech delivers a hyper-immersive, interactive group experience for all – without any bulky headsets. ",6iNbiMsdql3FDmWHqDxBwk,venture,B2C,Digital Entertainment Platform,"Teams of 1-6 play 30-60 minute adventures featuring games and challenges designed to be fun, social and collaborative. The first location opened on London’s Southbank in October 2019, where players can pick from two different Adventures, with more being added on a regular basis in the coming months. Tickets start at £20."
Trade Republic,Active,2015,2019-07-01,"Christian Hecker
Thomas Pischke
Marco Cancellieri",Berlin (Germany),FinTech,Series A,VC,https://traderepublic.com,"Trade Republic is on a mission to set millions of Europeans up for wealth creation with secure, easy and free access to capital markets. With over one million customers Trade Republic is already the home screen app for many Europeans to manage their wealth. It offers commission-free investing in equities and crypto as well as free ETF and fractional stock savings plans. Trade Republic is a technology company with a German banking license supervised by Bundesbank and BaFin. As Europe’s largest NeoBroker Trade Republic has received investments by Accel, Creandum, Founders Fund, Project A, Sequoia, TCV, and Thrive Capital. The company based in Berlin was founded in 2015 by Christian Hecker, Thomas Pischke, and Marco Cancellieri and employs more than 400 people.",j6uFzYBuSol1NkxcP2rRV,venture,B2C,Germany's first mobile and commission-free broker,Read why we invested in Trade Republic 
Carl,Active,2016,2019-05-01T00:00+01:00,"Kurosch D. Habibi
Pascal Stichler",Berlin (Germany),FinTech,Seed,VC,https://www.carlfinance.de/,"Carl is an M&A platform for SMEs, connecting owners, advisors, and acquirers around opportunities from €1mn to €50mn in transaction value. Carl’s private deal network, a dedicated SaaS solution that guides the process and partnerships with numerous associations, banks, and more than 220 M&A advisors, connects more than 2,500 accredited buyers to interesting companies. Carl’s mission is to offer the “Mittelstand” the same access to professional and efficient M&A services that large cooperations have had access to since long ago.",2qfQj95W25dpYao4bJGpRn,venture,B2B - SMB, Europe’s leading M&A platform for the mid-market,Read why we invested in 
Laserhub,Active,2017,2019-04-01T00:00+01:00,"Adrian Raidt
Christoph Rößner
Jonas Schweizer",Stuttgart (Germany),Manufacturing & Industry 4.0,Seed,VC,https://www.laserhub.de/,"Laserhub has developed a vertically integrated, multi-vendor procurement platform for individual sheet metal parts. The start-up fully automatically links the demands of the customers with the resources of the providers. This reduces both process and parts costs as well as the order and processing time. Orders from the fields of laser cutting, bending / folding and further processing can be implemented via the platform. Laserhub takes care of the entire process: from automatic offer preparation to order placement, implementation, logistics, and billing.",4TNoPgix6knFcC2zAzHKV0,venture,B2B - SMB,Platform for individual sheet metal parts,Read 
